Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4553462,2015,Xe cũ,"Mazda 6 2.5 AT",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.5 L",số tự động,60000,520 Triệu
4789838,2019,Xe cũ,"Mercedes Benz S class S450L",TP HCM,Xe lắp ráp trong nước,màu đỏ,"máy xăng 3.0 L",số tự động,15000,3 Tỷ 299 Triệu
4729199,2022,Xe mới,"VinFast VF8 Plus",TP HCM,Xe lắp ráp trong nước,màu cam,"xe điện",số tự động,0,887 Triệu
4838739,2018,Xe cũ,"Honda City 1.5TOP",Đồng Tháp,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,73000,418 Triệu
4814200,2006,Xe cũ,"Ford Everest 2.5L 4x2 MT",Đồng Tháp,Xe lắp ráp trong nước,màu bạc,"máy dầu 2.5 L",số tay,138000,198 Triệu
4788749,2014,Xe cũ,"Kia Sedona 2.2L DAT",Đồng Tháp,Xe nhập khẩu,màu bạc,"máy dầu 2.2 L",số tự động,72000,680 Triệu
4744348,2017,Xe cũ,"Toyota Innova 2.0E",Đồng Tháp,Xe lắp ráp trong nước,màu đồng,"máy xăng 2.0 L",số tay,92000,478 Triệu
4668363,2014,Xe cũ,"Mercedes Benz C class C250 Exclusive",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,57000,830 Triệu
4772088,2022,Xe cũ,"Volvo S90 Inscription LWB B6 AWD",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 2.0 L",số tự động,4000,2 Tỷ 299 Triệu
4765391,2016,Xe cũ,"Lexus ES 250",TP HCM,Xe nhập khẩu,màu nâu,"máy xăng 2.5 L",số tự động,50000,1 Tỷ 550 Triệu
4829906,2022,Xe cũ,"Honda City RS 1.5 AT",Bà Rịa Vũng Tàu,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,666,2 Tỷ 666 Triệu
4803091,2022,Xe cũ,"Mercedes Benz S class S450 4Matic",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 3.0 L",số tự động,1000,5 Tỷ 79 Triệu
3684476,2022,Xe mới,"Kia Soluto 1.4 MT Deluxe",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.4 L",số tay,0,434 Triệu
4831508,2011,Xe cũ,"Kia Forte SX 1.6 AT",Hà Nội,Xe lắp ráp trong nước,màu bạc,"máy xăng 1.6 L",số tự động,9000,345 Triệu
4773576,2021,Xe cũ,"Mitsubishi Pajero Sport 2.4D 4x2 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.4 L",số tự động,10000,1 Tỷ 69 Triệu
4813529,2022,Xe cũ,"Kia K5 Premium 2.0 AT",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy xăng 2.0 L",số tự động,10000,899 Triệu
4840475,2019,Xe cũ,"Hyundai Tucson 2.0ATH",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng",số tự động,30000,775 Triệu
4840470,2007,Xe cũ,"Hyundai Veracruz 3.0 Diezzen",Thái Bình,Xe nhập khẩu,màu vàng,"máy dầu",số tự động,80000,445 Triệu
4554015,2013,Xe cũ,"Hyundai Grand Starex Van 2.5 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.5 L",số tự động,100000,400 Triệu
4764858,2014,Xe cũ,"Honda CRV 2.0 AT",TP HCM,Xe lắp ráp trong nước,màu nâu,"máy xăng 2.0 L",số tự động,70000,538 Triệu
4765573,2018,Xe cũ,"Mazda 3 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy xăng 1.5 L",số tự động,40000,539 Triệu
4726320,2018,Xe cũ,"Mercedes Benz GLC 200",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,50000,1 Tỷ 365 Triệu
4627136,2017,Xe cũ,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.2 L",số tự động,65000,575 Triệu
4503371,2017,Xe cũ,"Ford Fiesta Titanium 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,60000,385 Triệu
4649912,2016,Xe cũ,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe nhập khẩu,màu xám,"máy dầu 2.2 L",số tự động,70000,545 Triệu
